Chinese	Vietnamese
韩Tiêu Đầu, ngươi hãy nghĩ kỹ, sống sót ngươi còn cơ hội báo thù, còn có thể làm cho thế lực nhà ngươi thêm mạnh. Nếu ngươi chết, thì tất cả đều mất.	hàn Tiêu Đầu, ngươi hãy nghĩ kỹ, sống sót ngươi còn cơ hội báo thù, còn có thể làm cho thế lực nhà ngươi thêm mạnh. Nếu ngươi chết, thì tất cả đều mất.
韩Tiêu Đầu, hi vọng về sau ngươi ngoan ngoãn nghe lời chưởng môn ta, như vậy tự nhiên sẽ có người dâng thuốc giải mỗi ngày, nếu không...	hàn Tiêu Đầu, hi vọng về sau ngươi ngoan ngoãn nghe lời chưởng môn ta, như vậy tự nhiên sẽ có người dâng thuốc giải mỗi ngày, nếu không...
A di đà Phật, Thiết Diện Nhân施 chủ, lão nạp đã chờ lâu rồi.	A di đà Phật, Thiết Diện Nhân thi chủ, lão nạp đã chờ lâu rồi.
Để đề phòng施 chủ, trận thế này chỉ sợ vẫn chưa đủ.	Để đề phòng thi chủ, trận thế này chỉ sợ vẫn chưa đủ.
Sao toàn là lũ Tiểu Hà米, Trọng Dương Tử Tuệ Nguyên lần này lại biến thành rùa rụt cổ rồi? Các ngươi đừng có tưởng lũ lính này có thể ngăn được ta đấy nhé?	Sao toàn là lũ Tiểu Hà mễ, Trọng Dương Tử Tuệ Nguyên lần này lại biến thành rùa rụt cổ rồi? Các ngươi đừng có tưởng lũ lính này có thể ngăn được ta đấy nhé?
A di đà Phật... lão nạp khuyên施 chủ hãy suy nghĩ kỹ lại...	A di đà Phật... lão nạp khuyên thi chủ hãy suy nghĩ kỹ lại...
Hiện giờ Đại Lương Thành thuộc quyền quản lý của Tề Vương, lại thêm chức vụ giám quốc, xử lý mấy tên quan nhỏ như御史 chẳng phải dễ như trở bàn tay.	Hiện giờ Đại Lương Thành thuộc quyền quản lý của Tề Vương, lại thêm chức vụ giám quốc, xử lý mấy tên quan nhỏ như ngự sử chẳng phải dễ như trở bàn tay.
Ngươi chưa nghe nói sao, từ khi tên Giám Trảm Quan này xử án 御史 Kỷ, thì Nha môn ngày nào cũng ma ám, có người thấy <color=#c44b0e>giờ Tý</color> có nữ quỷ áo trắng lang thang gần Nha môn, phần lớn là người nhà họ Kỷ đến đòi mạng.	Ngươi chưa nghe nói sao, từ khi tên Giám Trảm Quan này xử án ngự sử Kỷ, thì Nha môn ngày nào cũng ma ám, có người thấy <color=#c44b0e>giờ Tý</color> có nữ quỷ áo trắng lang thang gần Nha môn, phần lớn là người nhà họ Kỷ đến đòi mạng.
Một gia đình 御史 danh giá, lại bị một Vương Gia và một Đặc Sứ nước Yên giám sát hành quyết, chuyện này处处 kỳ lạ, ta muốn cứu người rồi hỏi cho rõ ràng.	Một gia đình ngự sử danh giá, lại bị một Vương Gia và một Đặc Sứ nước Yên giám sát hành quyết, chuyện này xử xử kỳ lạ, ta muốn cứu người rồi hỏi cho rõ ràng.
御史 Kỷ chính là phụ thân ta.	ngự sử Kỷ chính là phụ thân ta.
御史 Kỷ chính là phụ thân ta.	ngự sử Kỷ chính là phụ thân ta.
Vài vị quân爷 vất vả rồi, phiền các vị thông cảm, cho chúng ta vào được không?	Vài vị quân gia vất vả rồi, phiền các vị thông cảm, cho chúng ta vào được không?
Vừa rồi lời nói ngông cuồng của ngươi, nhà ta coi như chưa từng nghe thấy, nhà ta là奉了Long HưngHoàng Đế旨意, đặc biệt đến tìm người nhà họ Kỷ.	Vừa rồi lời nói ngông cuồng của ngươi, nhà ta coi như chưa từng nghe thấy, nhà ta là phụng liễu Long HưngHoàng Đế chỉ ý, đặc biệt đến tìm người nhà họ Kỷ.
“奉Long HưngHoàng Đế诏,曰:御史纪Hán Khanh,dâng hiến tính mạng vì nước, lấy cả gia đình làm giá, làm cho Yên quốc mất cảnh giác, đổi lấy sự bình yên cho xã tắc, vì đại kế kháng Yên Thân Tiên Sĩ Tốt. Nhà họ Kỷ trung liệt cả nhà, chết cũng đáng.”	" phụng Long HưngHoàng Đế chiếu, viết: ngự sử kỷ Hán Khanh,dâng hiến tính mạng vì nước, lấy cả gia đình làm giá, làm cho Yên quốc mất cảnh giác, đổi lấy sự bình yên cho xã tắc, vì đại kế kháng Yên Thân Tiên Sĩ Tốt. Nhà họ Kỷ trung liệt cả nhà, chết cũng đáng."
Người Trung Nguyên, có khí phách, có khí tiết. Nhưng mà, ánh sáng đom đóm làm sao có thể tranh辉 với ánh trăng!	Người Trung Nguyên, có khí phách, có khí tiết. Nhưng mà, ánh sáng đom đóm làm sao có thể tranh huy với ánh trăng!
Nàng cháu gái đã chuẩn bị sẵn sàng độc闯剑阵 chưa?	Nàng cháu gái đã chuẩn bị sẵn sàng độc sấm kiếm trận chưa?
Bang Chủ cho rằng gánh hát là tâm huyết của tất cả mọi người, tuyệt đối không phải của riêng hắn, cho nên宁死不屈...	Bang Chủ cho rằng gánh hát là tâm huyết của tất cả mọi người, tuyệt đối không phải của riêng hắn, cho nên ninh tử bất khuất...
Cho nên ta nghĩ... chỉ cần như vậy, hắn nhất định phải... ai ngờ tên kia宁死不屈...	Cho nên ta nghĩ... chỉ cần như vậy, hắn nhất định phải... ai ngờ tên kia ninh tử bất khuất...
Thiết Diện Nhân, ngươi tập hợp nhiều nhân sĩ giang hồ đến công đường như vậy, là muốn造反 sao?	Thiết Diện Nhân, ngươi tập hợp nhiều nhân sĩ giang hồ đến công đường như vậy, là muốn tạo phản sao?
<#61C3C8>洪Tiểu Thất</color> ra trận, tối đa 1 người...	<#61C3C8> hồng Tiểu Thất</color> ra trận, tối đa 1 người...
<#61C3C8>洪Tiểu Thất</color> đã bị đánh bại.	<#61C3C8> hồng Tiểu Thất</color> đã bị đánh bại.
Hỏi về lợi ích khi nhập赘 nhà Đinh.	Hỏi về lợi ích khi nhập chuế nhà Đinh.
<color=#0574a8>Đồng ý nhập赘 nhà Đinh.</color>	<color=#0574a8>Đồng ý nhập chuế nhà Đinh.</color>
<color=#0574a8>Quyết định nhập赘 nhà Đinh!</color>	<color=#0574a8>Quyết định nhập chuế nhà Đinh!</color>
Đăng ký tham gia cấp “Tiểu Hà 米”.	Đăng ký tham gia cấp "Tiểu Hà mễ".
Cựu ca hắc bào tể tướng vân tự dao ao呜咩咩 hùng 2R Tống Kỳ Lượng thiên lang thập tứ thanh phong trụ cố lý sam mục mại qua Tên vô lại giam ngư ing nhẹ nhàng phong Xuy Tuyết Trương Cát Lai hôm nay quan tuyên mạc đồng quang ấm áp thanh triệt thuyết thư nhân cửu nhị phong ngâm hoa húc	Cựu ca hắc bào tể tướng vân tự dao ao ô mị mị hùng 2R Tống Kỳ Lượng thiên lang thập tứ thanh phong trụ cố lý sam mục mại qua Tên vô lại giam ngư ing nhẹ nhàng phong Xuy Tuyết Trương Cát Lai hôm nay quan tuyên mạc đồng quang ấm áp thanh triệt thuyết thư nhân cửu nhị phong ngâm hoa húc
Cựu ca hắc bào tể tướng vân tự dao ao呜咩咩 hùng 2R Tống Kỳ Lượng thiên lang thập tứ thanh phong trụ cố lý sam mục mại qua Tên vô lại giam ngư ing nhẹ nhàng phong Xuy Tuyết Trương Cát Lai hôm nay quan tuyên mạc đồng quang ấm áp thanh triệt thuyết thư nhân cửu nhị phong ngâm hoa húc	Cựu ca hắc bào tể tướng vân tự dao ao ô mị mị hùng 2R Tống Kỳ Lượng thiên lang thập tứ thanh phong trụ cố lý sam mục mại qua Tên vô lại giam ngư ing nhẹ nhàng phong Xuy Tuyết Trương Cát Lai hôm nay quan tuyên mạc đồng quang ấm áp thanh triệt thuyết thư nhân cửu nhị phong ngâm hoa húc
凌 ngươi, xin chỉ giáo!<color=#097a76>（2 khắc, thể lực 10, nhân vật chính khiêu chiến）</color>	lăng ngươi, xin chỉ giáo!<color=#097a76>(2 khắc, thể lực 10, nhân vật chính khiêu chiến)</color>
Cái bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>（Địa Qua Thiêu 1坛）</color>	Cái bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>(Địa Qua Thiêu 1 đàn )</color>
3 bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>（Địa Qua Thiêu 3坛）</color>	3 bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>(Địa Qua Thiêu 3 đàn )</color>
3 bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>（Địa Qua Thiêu 3坛）</color>	3 bình <color=#c44b0e>Địa Qua Thiêu</color> này là ta dâng tặng ngươi.<color=#097a76>(Địa Qua Thiêu 3 đàn )</color>
Giao ra Thiên Khung Chi Ấn.<color=#097a76>（Thiên Khung Chi Ấn 1枚）</color>	Giao ra Thiên Khung Chi Ấn.<color=#097a76>(Thiên Khung Chi Ấn 1 mai )</color>
Giao ra Xã Tắc Chi Ấn.<color=#097a76>（Xã Tắc Chi Ấn 1枚）</color>	Giao ra Xã Tắc Chi Ấn.<color=#097a76>(Xã Tắc Chi Ấn 1 mai )</color>
Đặt <color=#c44b0e>Tam Sinh Thạch</color>.<color=#097a76>（Tam Sinh Thạch 1颗）</color>	Đặt <color=#c44b0e>Tam Sinh Thạch</color>.<color=#097a76>(Tam Sinh Thạch 1 khỏa )</color>
Giao hảo với bất kỳ thế lực môn phái bình thường nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>1枚 Địa Sát Bài</color>.	Giao hảo với bất kỳ thế lực môn phái bình thường nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>1 mai Địa Sát Bài</color>.
Giao hảo với bất kỳ năm thế lực môn phái bình thường nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>5枚 Địa Sát Bài</color>.	Giao hảo với bất kỳ năm thế lực môn phái bình thường nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>5 mai Địa Sát Bài</color>.
Giao hảo với bất kỳ hai thế lực môn phái lớn nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>2枚 Thiên Cương Bài</color>.	Giao hảo với bất kỳ hai thế lực môn phái lớn nào, quan hệ đạt 100 khi hoàn thành sự kiện liên quan, nhận được <color=#097a76>2 mai Thiên Cương Bài</color>.
Cửu cửu Trọng Dương Vân nhi nhất hiệu 212AganAmizAngel LuvSic.BeyoxblankblankwsChips ahoyCstloHFanGrow againJoeKeiLOPPanaceasyytlovezyelan阿米巴虫阿叹阿钊钊钊敖天99不倒的木偶常悟心陈星陈子游大金橙等风来点Đông Phương该東君（肚端寤Phủ Cực Thái Lai格鲁特公子玄哈喇子精Tinh Tinh行将就木红娘·墨小西花见渐行渐远渐无书Trên sông弄笛_金人玉橘生淮南快看我烧起来了拉默默蓝乐乐李佳泰李竣功两儀Ryo琉球的哀华陆陆侠陆奕辰myj马屁公园猫头狂揉毛豆王毛乙俊梦秒针摩拉克星乃琳爱你哟奈何桥卖Sữa đậu nành楠橙与秋霞三金傻不啦畅少侠王平知十四先生水云浩淼嗣音。苏弦随性孙艺源涛声依旧田肖洛焞哑王仲霖王梓谕温良。伍迪悟空的狗夏天不雨蠢忧忧小p小路小Tinh Tinh小越越新泡峰波丁云龙虚佑许许Chìa khóa链楪祈渝晚原以为招财进宝照章纳税支Tiểu Bạch重感情紫妹千碎ヾ(*´∀｀*)5678iu67Iﾉだよ葛林李阔尚天赐Zhen HuiAvalonian虎牙直播	Cửu cửu Trọng Dương Vân nhi nhất hiệu 212AganAmizAngel LuvSic.BeyoxblankblankwsChips ahoyCstloHFanGrow againJoeKeiLOPPanaceasyytlovezyelan a mễ ba trùng a thán a chiêu chiêu chiêu ngao thiên 99 bất đảo đích mộc ngẫu thường ngộ tâm trần tinh trần tử du đại kim chanh đẳng phong lai điểm Đông Phương cai đông quân ( đỗ đoan ngụ Phủ Cực Thái Lai cách lỗ đặc công tử huyền cáp lạt tử tinh Tinh Tinh hành tương tựu mộc hồng nương · mặc tiểu tây hoa kiến tiệm hành tiệm viễn tiệm vô thư Trên sông lộng địch _ kim nhân ngọc quất sinh hoài nam khoái khán ngã thiêu khởi lai liễu lạp mặc mặc lam nhạc nhạc lý giai thái lý thuân công lưỡng nghi Ryo lưu cầu đích ai hoa lục lục hiệp lục dịch thần myj mã thí công viên miêu đầu cuồng nhu mao đậu vương mao ất tuấn mộng miểu châm ma lạp khắc tinh nãi lâm ái nhĩ yêu nại hà kiều mại Sữa đậu nành nam chanh dữ thu hà tam kim sỏa bất lạp sướng thiếu hiệp vương bình tri thập tứ tiên sinh thủy vân hạo miểu tự âm. tô huyền tùy tính tôn nghệ nguyên đào thanh y cựu điền tiêu lạc 焞 ách vương trọng lâm vương tử dụ ôn lương. ngũ địch ngộ không đích cẩu hạ thiên bất vũ xuẩn ưu ưu tiểu p tiểu lộ tiểu Tinh Tinh tiểu việt việt tân phao phong ba đinh vân long hư hữu hứa hứa Chìa khóa liên điệp kỳ du vãn nguyên dĩ vi chiêu tài tiến bảo chiếu chương nạp thuế chi Tiểu Bạch trọng cảm tình tử muội thiên toái ヾ(*´∀`*)5678iu67Iﾉだよ cát lâm lý khoát thượng thiên tứ Zhen HuiAvalonian hổ nha trực bá
caps1ock扶摇dooki十安灵犀落叶归根奇怪的机器人TC大帝国KillerDJSH次元旅Hành Giả黄昏引烛AlleyCats围观的Lộ Nhân GiápProtoype夜露死苦夜正长Null	caps1ock phù dao dooki thập an linh tê lạc diệp quy căn kỳ quái đích cơ khí nhân TC đại đế quốc KillerDJSH thứ nguyên lữ Hành Giả hoàng hôn dẫn chúc AlleyCats vi quan đích Lộ Nhân GiápProtoype dạ lộ tử khổ dạ chính trường Null
caps1ock扶摇dooki十安灵犀落叶归根奇怪的机器人TC大帝国KillerDJSH次元旅Hành Giả黄昏引烛AlleyCats围观的Lộ Nhân GiápProtoype夜露死苦夜正长Null	caps1ock phù dao dooki thập an linh tê lạc diệp quy căn kỳ quái đích cơ khí nhân TC đại đế quốc KillerDJSH thứ nguyên lữ Hành Giả hoàng hôn dẫn chúc AlleyCats vi quan đích Lộ Nhân GiápProtoype dạ lộ tử khổ dạ chính trường Null
Lupo疾风小土狗马屁公园木菠萝陈东城弥雾肉大大大大王顾潇涵丁晨鹿鹿啦啦啦十十高三欠	Lupo tật phong tiểu thổ cẩu mã thí công viên mộc ba la trần đông thành di vụ nhục đại đại đại đại vương cố tiêu hàm đinh thần lộc lộc lạp lạp lạp thập thập cao tam khiếm
Lupo疾风小土狗马屁公园木菠萝陈东城弥雾肉大大大大王顾潇涵丁晨鹿鹿啦啦啦十十高三欠	Lupo tật phong tiểu thổ cẩu mã thí công viên mộc ba la trần đông thành di vụ nhục đại đại đại đại vương cố tiêu hàm đinh thần lộc lộc lạp lạp lạp thập thập cao tam khiếm
Thù này không báo không phải quân tử! Thanh Phong Trại đúng không,chờ Chưởng môn ta thần công đại thành nhất định sẽ cho các ngươi好看!	Thù này không báo không phải quân tử! Thanh Phong Trại đúng không,chờ Chưởng môn ta thần công đại thành nhất định sẽ cho các ngươi hảo khán!
Rõ ràng là ngươi đang hấp thu nội lực của ta... tệ rồi,nội lực của ta hai người một âm một dương,lẫn nhau hấp dẫn,tương sinh tương khắc,cứ như vậy chỉ có thể hai bại俱 thương.	Rõ ràng là ngươi đang hấp thu nội lực của ta... tệ rồi,nội lực của ta hai người một âm một dương,lẫn nhau hấp dẫn,tương sinh tương khắc,cứ như vậy chỉ có thể hai bại câu thương.
Hiện tại môn phái chúng ta nhân tài济济,cũng thật sự đến lúc nên thanh toán với đám người kia rồi.	Hiện tại môn phái chúng ta nhân tài tế tế,cũng thật sự đến lúc nên thanh toán với đám người kia rồi.
「Nhiều năm trước,nước Triệu nội ưu ngoại hoạn,phong vũ bão táp,ngoài có quân Yên Vân Thiết虎视眈眈,trong có tranh giành đảng phái dân không sống nổi,đúng lúc nước mất nhà tan nguy cấp,một vị đại anh hùng xuất hiện xoay chuyển tình thế!」	"Nhiều năm trước,nước Triệu nội ưu ngoại hoạn,phong vũ bão táp,ngoài có quân Yên Vân Thiết hổ thị đam đam,trong có tranh giành đảng phái dân không sống nổi,đúng lúc nước mất nhà tan nguy cấp,một vị đại anh hùng xuất hiện xoay chuyển tình thế!"
「Mọi âm mưu quỷ kế đều bị đại hiệp Vô Danh ngăn chặn phá hủy,vị đại hiệp này cũng trở thành gai trong mắt các Vương gia. Hoàng Thành Ty倾巢出动,liên kết các cao thủ trong cung,các thế lực khác nhau,bày ra Thiên La Địa Võng muốn tiêu diệt đại hiệp Vô Danh. Nhưng sau trận chiến này,không chỉ Đồng Đạo Phụ không rõ tung tích,Hoàng Thành Ty lại bị xóa sổ hoàn toàn,bị loại bỏ khỏi danh sách!」	"Mọi âm mưu quỷ kế đều bị đại hiệp Vô Danh ngăn chặn phá hủy,vị đại hiệp này cũng trở thành gai trong mắt các Vương gia. Hoàng Thành Ty khuynh sào xuất động,liên kết các cao thủ trong cung,các thế lực khác nhau,bày ra Thiên La Địa Võng muốn tiêu diệt đại hiệp Vô Danh. Nhưng sau trận chiến này,không chỉ Đồng Đạo Phụ không rõ tung tích,Hoàng Thành Ty lại bị xóa sổ hoàn toàn,bị loại bỏ khỏi danh sách!"
Đừng恋战,viện binh của chúng sắp đến,mục tiêu của chúng ta đã đạt được,rút lui trước.	Đừng luyến chiến,viện binh của chúng sắp đến,mục tiêu của chúng ta đã đạt được,rút lui trước.
「Nhìn lão thái long chung phụ nhân quỳ xuống trước mặt,trong lòng ngươi dâng lên một tia cảm giác宿命. Ngày xưa độc bộ tây nam,võ lâm vô song,rốt cuộc không địch lại sự bào mòn của thời gian,trở thành bàn đạp của môn phái các ngươi. Một đời truyền kỳ,hôm nay liền kết thúc...」	"Nhìn lão thái long chung phụ nhân quỳ xuống trước mặt,trong lòng ngươi dâng lên một tia cảm giác túc mệnh. Ngày xưa độc bộ tây nam,võ lâm vô song,rốt cuộc không địch lại sự bào mòn của thời gian,trở thành bàn đạp của môn phái các ngươi. Một đời truyền kỳ,hôm nay liền kết thúc..."
「Nguyên lai Hoắc mỗ cơ quan tính hết,cũng không địch lại công phu盖世 của ngươi. Chỉ cần ngươi tha cho thuộc hạ ta đám huynh đệ này,Hoắc mỗ liền lập tức thề,không bao giờ làm địch với ngươi nữa!」	"Nguyên lai Hoắc mỗ cơ quan tính hết,cũng không địch lại công phu cái thế của ngươi. Chỉ cần ngươi tha cho thuộc hạ ta đám huynh đệ này,Hoắc mỗ liền lập tức thề,không bao giờ làm địch với ngươi nữa!"
Ồ! Đây là tự thiếp Chưởng Môn ta临摹珍藏书法的,truyền lại cho đệ tử học tập,xin hãy trả lại cho chúng ta.	Ồ! Đây là tự thiếp Chưởng Môn ta lâm mô trân tàng thư pháp đích,truyền lại cho đệ tử học tập,xin hãy trả lại cho chúng ta.
Các ngươi đến nơi dịch bệnh hoành hành,người dân nơi đây bệnh tật缠身,nằm liệt giường,trong thôn một mảnh tiêu điều.	Các ngươi đến nơi dịch bệnh hoành hành,người dân nơi đây bệnh tật triền thân,nằm liệt giường,trong thôn một mảnh tiêu điều.
Không phải,người sáng suốt không nói lời tối tăm. Ta tin tưởng沈 ngươi,ta nói thẳng mục đích chuyến đi này.	Không phải,người sáng suốt không nói lời tối tăm. Ta tin tưởng thẩm ngươi,ta nói thẳng mục đích chuyến đi này.
沈 ngươi ban cho một chức vị,Chiến mỗ cũng dễ hành sự thuận tiện.	thẩm ngươi ban cho một chức vị,Chiến mỗ cũng dễ hành sự thuận tiện.
Đương nhiên,Chiến mỗ sẽ không làm phiền沈 ngươi,Chiến mỗ đến đây,cũng chuẩn bị cải trang đổi dạng,đổi tên đổi họ,nghe theo sự sai khiến của沈 ngươi.	Đương nhiên,Chiến mỗ sẽ không làm phiền thẩm ngươi,Chiến mỗ đến đây,cũng chuẩn bị cải trang đổi dạng,đổi tên đổi họ,nghe theo sự sai khiến của thẩm ngươi.
Chúng ta đương nhiên cũng có đồng liêu đi đến đó truy tra. Chỉ là Chiến mỗ và沈 ngươi có giao tình cũ,hơn nữa danh tiếng Chiến mỗ... thực sự không tiện.	Chúng ta đương nhiên cũng có đồng liêu đi đến đó truy tra. Chỉ là Chiến mỗ và thẩm ngươi có giao tình cũ,hơn nữa danh tiếng Chiến mỗ... thực sự không tiện.
沈 ngươi cứ nói,Chiến mỗ tất nhiên sẽ tuân theo.	thẩm ngươi cứ nói,Chiến mỗ tất nhiên sẽ tuân theo.
Thôi được,thôi được. Nhưng沈 ngươi,Chiến mỗ vẫn phải nói rõ.	Thôi được,thôi được. Nhưng thẩm ngươi,Chiến mỗ vẫn phải nói rõ.
Chiến mỗ vẫn phải tiếp tục ẩn thân ở {MyFaction} tra án,chỉ là không có sự giúp đỡ của沈 ngươi,Chiến mỗ nhiều việc bất tiện,cũng đành chịu.	Chiến mỗ vẫn phải tiếp tục ẩn thân ở {MyFaction} tra án,chỉ là không có sự giúp đỡ của thẩm ngươi,Chiến mỗ nhiều việc bất tiện,cũng đành chịu.
沈 ngươi,sau này có dịp gặp lại.	thẩm ngươi,sau này có dịp gặp lại.
Ta muốn vào chùa xem thử,sư phụ từng nhắc đến nhiều thứ của {MyFaction},ao sen có cọc梅花桩,bia đá,tháp Lâm,cái chuông lớn đó,còn cả tăng xá sư phụ từng ở!	Ta muốn vào chùa xem thử,sư phụ từng nhắc đến nhiều thứ của {MyFaction},ao sen có cọc mai hoa thung,bia đá,tháp Lâm,cái chuông lớn đó,còn cả tăng xá sư phụ từng ở!
虞美人 nha!	ngu mỹ nhân nha!
Chú ruột! Con nói cho chú biết,con luôn nghi ngờ có người đang thăm dò thủy寨 của chúng ta!	Chú ruột! Con nói cho chú biết,con luôn nghi ngờ có người đang thăm dò thủy trại của chúng ta!
Các người theo ta cũng được,ta nói cho các người biết,ta nghi ngờ gần thủy寨 luôn có người dòm ngó,lần này ta ra ngoài là để bắt những kẻ không có thiện ý này!	Các người theo ta cũng được,ta nói cho các người biết,ta nghi ngờ gần thủy trại luôn có người dòm ngó,lần này ta ra ngoài là để bắt những kẻ không có thiện ý này!
Sau khi đánh đuổi Quan binh,Định Hải Đường trở về寨.	Sau khi đánh đuổi Quan binh,Định Hải Đường trở về trại.
Chú父! Ta không phải là nhìn thấu mai phục sao......	Chú phụ! Ta không phải là nhìn thấu mai phục sao......
Chú父,người không phải nói phái người đi cùng ta điều tra sao? Chờ người lâu như vậy mà không có một ai đến!	Chú phụ,người không phải nói phái người đi cùng ta điều tra sao? Chờ người lâu như vậy mà không có một ai đến!
